task_text,prompt,answer_num,task_type,unknown,gigachat_completion
"Из двух разных деревень в одинаковом направлении одновременно выехали два мотоцикла. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 28 км/ч, второй ехал со скоростью 73 км/ч и они встретились через 5 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",225,1,distance,105
"Из двух разных деревень в одинаковом направлении одновременно выехали два автомобиля. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 44 км/ч, второй ехал со скоростью 55 км/ч и они встретились через 5 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",55,1,distance,110
"В первый день пастух со стадом прошли 26 км, а во второй на 14 км больше чем в первый. Сколько километров прошли пастух со стадом за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",66,4,time,60
"Из одного села в противоположном направлении одновременно выехали два грузовика. С какой скоростью ехал первый, если второй ехал со скоростью 45 км/ч и через 1 часов они оказались на расстоянии 92 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",47,2,first_speed,30
"В первый день кладоискатели прошли 22 км, а во второй на 6 км больше чем в первый. Сколько километров прошли кладоискатели за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",50,4,first_speed,30
"Из двух разных посёлков, расстояние между которыми 100 км, в одинаковом направлении одновременно выехали два автобуса. Первый ехал со скоростью 30 км/ч, второй со скоростью 55 км/ч, через сколько часов первый догонит второго? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",4,1,time,2
"Из двух разных городов навстречу друг другу одновременно выехали два автобуса. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 98 км/ч, второй ехал со скоростью 48 км/ч и они встретились через 4 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",584,3,distance,144
"В первый день кладоискатели прошли 20 км, а во второй на 13 км больше чем в первый. Сколько километров прошли кладоискатели за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",53,4,time,53
"Из одного посёлка в противоположном направлении одновременно выехали два автобуса. На каком расстоянии друг от друга они окажутся через 6 часов если первый ехал со скоростью 43 км/ч, а второй ехал со скоростью 93 км/ч? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",816,2,distance,130
"В первый день геологи прошли 29 км, а во второй на 8 км больше чем в первый. Сколько километров прошли геологи за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",66,4,first_speed,37
"В первый день кладоискатели прошли 27 км, а во второй на 8 км больше чем в первый. Сколько километров прошли кладоискатели за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",62,4,time,35
"Из двух разных городов, расстояние между которыми 987 км, навстречу друг другу одновременно выехали два автомобиля. Первый ехал со скоростью 44 км/ч, второй со скоростью 97 км/ч, через сколько часов они встретятся? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",7,3,time,2
"Из двух разных деревень навстречу друг другу одновременно выехали два автомобиля. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 34 км/ч, второй ехал со скоростью 70 км/ч и они встретились через 4 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",416,3,distance,124
"В первый день туристы прошли 27 км, а во второй на 6 км меньше чем в первый. Сколько километров прошли туристы за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",48,4,first_speed,33
"Из двух разных городов, расстояние между которыми 153 км, в одинаковом направлении одновременно выехали два мотоцикла. С какой скоростью ехал первый, если второй ехал со скоростью 47 км/ч и они встретились через 9 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",30,1,first_speed,60
"В первый день путешественники прошли 21 км, а во второй на 7 км больше чем в первый. Сколько километров прошли путешественники за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",49,4,time,28
"В первый день путешественники прошли 23 км, а во второй на 5 км больше чем в первый. Сколько километров прошли путешественники за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",51,4,distance,33
"Из одного посёлка в противоположном направлении одновременно выехали два мотоцикла. Первый ехал со скоростью 26 км/ч, второй со скоростью 66 км/ч, через сколько часов они окажутся на расстоянии 828 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",9,2,time,1
"Из одного села в противоположном направлении одновременно выехали два мотоцикла. Первый ехал со скоростью 54 км/ч, второй со скоростью 93 км/ч, через сколько часов они окажутся на расстоянии 588 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",4,2,time,12
"Из двух разных пунктов отправления, расстояние между которыми 196 км, навстречу друг другу одновременно выехали два автобуса. Первый ехал со скоростью 49 км/ч, второй со скоростью 49 км/ч, через сколько часов они встретятся? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",2,3,time,4
"Из двух разных городов, расстояние между которыми 195 км, навстречу друг другу одновременно выехали два грузовика. Первый ехал со скоростью 40 км/ч, второй со скоростью 25 км/ч, через сколько часов они встретятся? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",3,3,time,4
"В первый день кладоискатели прошли 23 км, а во второй на 14 км больше чем в первый. Сколько километров прошли кладоискатели за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",60,4,first_speed,57
"В первый день путешественники прошли 22 км, а во второй на 5 км меньше чем в первый. Сколько километров прошли путешественники за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",39,4,distance,27
"В первый день пастух со стадом прошли 28 км, а во второй на 5 км меньше чем в первый. Сколько километров прошли пастух со стадом за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",51,4,time,33
"Из одного посёлка в противоположном направлении одновременно выехали два грузовика. Первый ехал со скоростью 91 км/ч, второй со скоростью 28 км/ч, через сколько часов они окажутся на расстоянии 714 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",6,2,time,2
"В первый день геологи прошли 26 км, а во второй на 12 км меньше чем в первый. Сколько километров прошли геологи за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",40,4,time,38
"Из двух разных деревень навстречу друг другу одновременно выехали два автомобиля. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 46 км/ч, второй ехал со скоростью 69 км/ч и они встретились через 7 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",805,3,distance,135
"Из двух разных деревень, расстояние между которыми 576 км, навстречу друг другу одновременно выехали два автобуса. С какой скоростью ехал первый, если второй ехал со скоростью 34 км/ч и они встретились через 9 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",30,3,first_speed,40
"Из одного села в противоположном направлении одновременно выехали два грузовика. На каком расстоянии друг от друга они окажутся через 9 часов если первый ехал со скоростью 61 км/ч, а второй ехал со скоростью 81 км/ч? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",1278,2,distance,202
"Из одного села в противоположном направлении одновременно выехали два мотоцикла. На каком расстоянии друг от друга они окажутся через 6 часов если первый ехал со скоростью 77 км/ч, а второй ехал со скоростью 76 км/ч? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",918,2,distance,10 км
"Из двух разных городов в одинаковом направлении одновременно выехали два автобуса. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 15 км/ч, второй ехал со скоростью 59 км/ч и они встретились через 5 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",220,1,distance,100
"Из двух разных пунктов отправления, расстояние между которыми 552 км, навстречу друг другу одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 22 км/ч и они встретились через 6 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",70,3,first_speed,44 км/ч
"Из двух разных пунктов отправления в одинаковом направлении одновременно выехали два автобуса. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 37 км/ч, второй ехал со скоростью 73 км/ч и они встретились через 4 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",144,1,distance,106
"Из двух разных деревень в одинаковом направлении одновременно выехали два грузовика. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 15 км/ч, второй ехал со скоростью 27 км/ч и они встретились через 3 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",36,1,distance,45
"Из двух разных пунктов отправления, расстояние между которыми 147 км, в одинаковом направлении одновременно выехали два автомобиля. Первый ехал со скоростью 36 км/ч, второй со скоростью 57 км/ч, через сколько часов первый догонит второго? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",7,1,time,2
"Из двух разных пунктов отправления, расстояние между которыми 358 км, навстречу друг другу одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 89 км/ч и они встретились через 2 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",90,3,first_speed,100
"Из одного города в противоположном направлении одновременно выехали два мотоцикла. С какой скоростью ехал первый, если второй ехал со скоростью 56 км/ч и через 4 часов они оказались на расстоянии 324 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",25,2,first_speed,68
"Из двух разных городов в одинаковом направлении одновременно выехали два мотоцикла. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 16 км/ч, второй ехал со скоростью 35 км/ч и они встретились через 4 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",76,1,distance,100
"Из двух разных посёлков, расстояние между которыми 145 км, в одинаковом направлении одновременно выехали два автобуса. С какой скоростью ехал первый, если второй ехал со скоростью 69 км/ч и они встретились через 5 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",40,1,first_speed,72
"Из одного села в противоположном направлении одновременно выехали два грузовика. С какой скоростью ехал первый, если второй ехал со скоростью 30 км/ч и через 2 часов они оказались на расстоянии 190 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",65,2,first_speed,45
"Из двух разных пунктов отправления, расстояние между которыми 172 км, в одинаковом направлении одновременно выехали два автобуса. Первый ехал со скоростью 25 км/ч, второй со скоростью 68 км/ч, через сколько часов первый догонит второго? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",4,1,time,3
"Из одного села в противоположном направлении одновременно выехали два мотоцикла. Первый ехал со скоростью 42 км/ч, второй со скоростью 25 км/ч, через сколько часов они окажутся на расстоянии 469 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",7,2,time,18
"Из двух разных деревень навстречу друг другу одновременно выехали два автомобиля. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 29 км/ч, второй ехал со скоростью 75 км/ч и они встретились через 6 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",624,3,distance,126
"Из одного села в противоположном направлении одновременно выехали два автобуса. С какой скоростью ехал первый, если второй ехал со скоростью 96 км/ч и через 2 часов они оказались на расстоянии 346 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",77,2,first_speed,108
"Из двух разных пунктов отправления, расстояние между которыми 40 км, в одинаковом направлении одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 59 км/ч и они встретились через 4 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",49,1,first_speed,61
"Из одного села в противоположном направлении одновременно выехали два автобуса. С какой скоростью ехал первый, если второй ехал со скоростью 87 км/ч и через 3 часов они оказались на расстоянии 390 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",43,2,first_speed,84
"Из двух разных городов навстречу друг другу одновременно выехали два автомобиля. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 25 км/ч, второй ехал со скоростью 47 км/ч и они встретились через 5 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",360,3,distance,100
"В первый день пастух со стадом прошли 24 км, а во второй на 7 км меньше чем в первый. Сколько километров прошли пастух со стадом за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",41,4,distance,31
"Из одного села в противоположном направлении одновременно выехали два мотоцикла. На каком расстоянии друг от друга они окажутся через 2 часов если первый ехал со скоростью 99 км/ч, а второй ехал со скоростью 65 км/ч? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",328,2,distance,164
"Из двух разных деревень, расстояние между которыми 924 км, навстречу друг другу одновременно выехали два грузовика. С какой скоростью ехал первый, если второй ехал со скоростью 93 км/ч и они встретились через 7 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",39,3,first_speed,100
"В первый день кладоискатели прошли 26 км, а во второй на 9 км больше чем в первый. Сколько километров прошли кладоискатели за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",61,4,time,35
"Из двух разных деревень, расстояние между которыми 1216 км, навстречу друг другу одновременно выехали два мотоцикла. Первый ехал со скоростью 76 км/ч, второй со скоростью 76 км/ч, через сколько часов они встретятся? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",8,3,time,1
"Из одного города в противоположном направлении одновременно выехали два грузовика. С какой скоростью ехал первый, если второй ехал со скоростью 76 км/ч и через 4 часов они оказались на расстоянии 636 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",83,2,first_speed,80
"В первый день туристы прошли 20 км, а во второй на 9 км больше чем в первый. Сколько километров прошли туристы за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",49,4,time,39
"Из двух разных посёлков, расстояние между которыми 348 км, навстречу друг другу одновременно выехали два автобуса. С какой скоростью ехал первый, если второй ехал со скоростью 59 км/ч и они встретились через 3 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",57,3,first_speed,60
"Из двух разных городов в одинаковом направлении одновременно выехали два мотоцикла. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 22 км/ч, второй ехал со скоростью 54 км/ч и они встретились через 9 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",288,1,distance,111
"Из двух разных посёлков в одинаковом направлении одновременно выехали два автомобиля. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 29 км/ч, второй ехал со скоростью 53 км/ч и они встретились через 4 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",96,1,distance,106
"Из одного пункта отправления в противоположном направлении одновременно выехали два автобуса. Первый ехал со скоростью 49 км/ч, второй со скоростью 71 км/ч, через сколько часов они окажутся на расстоянии 480 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",4,2,time,3
"В первый день пастух со стадом прошли 26 км, а во второй на 7 км больше чем в первый. Сколько километров прошли пастух со стадом за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",59,4,first_speed,33
"В первый день пастух со стадом прошли 27 км, а во второй на 5 км больше чем в первый. Сколько километров прошли пастух со стадом за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",59,4,distance,32
"Из одного города в противоположном направлении одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 76 км/ч и через 2 часов они оказались на расстоянии 316 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",82,2,first_speed,88
"В первый день туристы прошли 21 км, а во второй на 5 км меньше чем в первый. Сколько километров прошли туристы за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",37,4,first_speed,26
"Из двух разных деревень, расстояние между которыми 1278 км, навстречу друг другу одновременно выехали два автомобиля. Первый ехал со скоростью 52 км/ч, второй со скоростью 90 км/ч, через сколько часов они встретятся? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",9,3,time,2
"Из двух разных посёлков, расстояние между которыми 303 км, навстречу друг другу одновременно выехали два грузовика. С какой скоростью ехал первый, если второй ехал со скоростью 72 км/ч и они встретились через 3 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",29,3,first_speed,60
"В первый день пастух со стадом прошли 25 км, а во второй на 11 км меньше чем в первый. Сколько километров прошли пастух со стадом за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",39,4,distance,36
"Из двух разных посёлков, расстояние между которыми 496 км, навстречу друг другу одновременно выехали два грузовика. Первый ехал со скоростью 49 км/ч, второй со скоростью 75 км/ч, через сколько часов они встретятся? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",4,3,time,12
"Из двух разных посёлков, расстояние между которыми 147 км, в одинаковом направлении одновременно выехали два грузовика. С какой скоростью ехал первый, если второй ехал со скоростью 65 км/ч и они встретились через 3 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",16,1,first_speed,85
"Из одного села в противоположном направлении одновременно выехали два грузовика. С какой скоростью ехал первый, если второй ехал со скоростью 22 км/ч и через 7 часов они оказались на расстоянии 616 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",66,2,first_speed,30 км/ч
"В первый день пастух со стадом прошли 22 км, а во второй на 6 км больше чем в первый. Сколько километров прошли пастух со стадом за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",50,4,distance,30
"В первый день кладоискатели прошли 22 км, а во второй на 6 км меньше чем в первый. Сколько километров прошли кладоискатели за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",38,4,time,28
"Из одного посёлка в противоположном направлении одновременно выехали два мотоцикла. Первый ехал со скоростью 89 км/ч, второй со скоростью 95 км/ч, через сколько часов они окажутся на расстоянии 1472 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",8,2,time,3
"Из двух разных посёлков, расстояние между которыми 124 км, навстречу друг другу одновременно выехали два грузовика. С какой скоростью ехал первый, если второй ехал со скоростью 22 км/ч и они встретились через 2 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",40,3,first_speed,30 км/ч
"Из двух разных пунктов отправления, расстояние между которыми 693 км, навстречу друг другу одновременно выехали два автомобиля. Первый ехал со скоростью 54 км/ч, второй со скоростью 23 км/ч, через сколько часов они встретятся? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",9,3,time,12
"Из двух разных деревень в одинаковом направлении одновременно выехали два грузовика. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 23 км/ч, второй ехал со скоростью 36 км/ч и они встретились через 6 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",78,1,distance,108
"В первый день кладоискатели прошли 29 км, а во второй на 9 км меньше чем в первый. Сколько километров прошли кладоискатели за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",49,4,first_speed,38
"Из двух разных пунктов отправления, расстояние между которыми 250 км, навстречу друг другу одновременно выехали два автобуса. С какой скоростью ехал первый, если второй ехал со скоростью 21 км/ч и они встретились через 5 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",29,3,first_speed,42
"В первый день геологи прошли 25 км, а во второй на 8 км меньше чем в первый. Сколько километров прошли геологи за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",42,4,first_speed,33
"В первый день туристы прошли 29 км, а во второй на 7 км меньше чем в первый. Сколько километров прошли туристы за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",51,4,first_speed,36
"Из двух разных пунктов отправления, расстояние между которыми 207 км, в одинаковом направлении одновременно выехали два автомобиля. Первый ехал со скоростью 23 км/ч, второй со скоростью 46 км/ч, через сколько часов первый догонит второго? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",9,1,time,5
"Из двух разных пунктов отправления, расстояние между которыми 870 км, навстречу друг другу одновременно выехали два мотоцикла. С какой скоростью ехал первый, если второй ехал со скоростью 82 км/ч и они встретились через 5 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",92,3,first_speed,90
"Из двух разных деревень в одинаковом направлении одновременно выехали два грузовика. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 20 км/ч, второй ехал со скоростью 44 км/ч и они встретились через 8 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",192,1,distance,160
"Из одного посёлка в противоположном направлении одновременно выехали два автобуса. На каком расстоянии друг от друга они окажутся через 6 часов если первый ехал со скоростью 48 км/ч, а второй ехал со скоростью 56 км/ч? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",624,2,distance,120
"Из двух разных городов, расстояние между которыми 288 км, в одинаковом направлении одновременно выехали два грузовика. Первый ехал со скоростью 27 км/ч, второй со скоростью 59 км/ч, через сколько часов первый догонит второго? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",9,1,time,10
"Из одного села в противоположном направлении одновременно выехали два мотоцикла. На каком расстоянии друг от друга они окажутся через 3 часов если первый ехал со скоростью 36 км/ч, а второй ехал со скоростью 27 км/ч? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",189,2,distance,18
"Из одного села в противоположном направлении одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 38 км/ч и через 2 часов они оказались на расстоянии 188 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",56,2,first_speed,40
"Из одного города в противоположном направлении одновременно выехали два грузовика. На каком расстоянии друг от друга они окажутся через 5 часов если первый ехал со скоростью 56 км/ч, а второй ехал со скоростью 78 км/ч? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",670,2,distance,144
"Из двух разных пунктов отправления навстречу друг другу одновременно выехали два мотоцикла. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 92 км/ч, второй ехал со скоростью 47 км/ч и они встретились через 8 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",1112,3,distance,139
"Из одного села в противоположном направлении одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 78 км/ч и через 7 часов они оказались на расстоянии 875 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",47,2,first_speed,80
"В первый день исследователи прошли 26 км, а во второй на 6 км меньше чем в первый. Сколько километров прошли исследователи за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",46,4,distance,32
"Из двух разных пунктов отправления, расстояние между которыми 78 км, в одинаковом направлении одновременно выехали два автобуса. Первый ехал со скоростью 24 км/ч, второй со скоростью 63 км/ч, через сколько часов первый догонит второго? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",2,1,time,2
"Из двух разных посёлков в одинаковом направлении одновременно выехали два грузовика. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 38 км/ч, второй ехал со скоростью 82 км/ч и они встретились через 2 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",88,1,distance,146
"В первый день туристы прошли 20 км, а во второй на 11 км меньше чем в первый. Сколько километров прошли туристы за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",29,4,first_speed,31
"В первый день кладоискатели прошли 28 км, а во второй на 7 км больше чем в первый. Сколько километров прошли кладоискатели за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",63,4,first_speed,35
"Из одного пункта отправления в противоположном направлении одновременно выехали два автобуса. С какой скоростью ехал первый, если второй ехал со скоростью 76 км/ч и через 6 часов они оказались на расстоянии 588 друг от друга? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",22,2,first_speed,80
"В первый день пастух со стадом прошли 20 км, а во второй на 10 км больше чем в первый. Сколько километров прошли пастух со стадом за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",50,4,distance,30
"Из двух разных городов, расстояние между которыми 190 км, в одинаковом направлении одновременно выехали два мотоцикла. С какой скоростью ехал первый, если второй ехал со скоростью 59 км/ч и они встретились через 5 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",21,1,first_speed,65
"Из двух разных пунктов отправления навстречу друг другу одновременно выехали два мотоцикла. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 88 км/ч, второй ехал со скоростью 63 км/ч и они встретились через 7 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",1057,3,distance,151
"Из двух разных деревень, расстояние между которыми 790 км, навстречу друг другу одновременно выехали два мотоцикла. Первый ехал со скоростью 77 км/ч, второй со скоростью 81 км/ч, через сколько часов они встретятся? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",5,3,time,10
