task_text,answer_num,gigachat_completion
"Из одного пункта отправления в противоположном направлении одновременно выехали два автобуса. С какой скоростью ехал первый, если второй ехал со скоростью 25 км/ч и через 1 часов они оказались на расстоянии 98 друг от друга? ",73,"Однажды два автобуса отправились из одного пункта в противоположных направлениях. Первый автобус ехал очень быстро, а второй двигался со скоростью 25 километров в час. Через час они оказались на расстоянии 98 друг от друга. С какой скоростью ехал первый автобус?"
"Из одного пункта отправления в противоположном направлении одновременно выехали два автобуса. На каком расстоянии друг от друга они окажутся через 7 часов если первый ехал со скоростью 50 км/ч, а второй ехал со скоростью 68 км/ч? ",826,"Улитка, которая жила на дереве, решила отправиться в путешествие. Она хотела посетить все населенные пункты, которые были расположены на расстоянии 100 километров друг от друга. Но она не могла ехать на автобусе, как люди, ведь она была улиткой. Поэтому она решила ползти.

Первый день улитка ползла со скоростью 50 метров в час, а второй день со скоростью 68 метров в час. И вот, когда она проползла 100 километров, она поняла, что это расстояние она преодолела за 7 часов.

Теперь, чтобы узнать, на каком расстоянии друг от друга окажутся два автобуса через 7 часов, если первый ехал со скоростью 50 км/ч, а второй ехал со скоростью 68 км/ч, нужно умножить скорость первого автобуса на время, которое он проехал, и вычесть из этого результата скорость второго автобуса на время, которое он проехал.

Таким образом, расстояние между автобусами будет равно:

(50 км/ч * 7 ч) - (68 км/ч * 7 ч) = 350 км - 476 км = -126 км.

Но так как расстояние не может быть отрицательным, значит, автобусы окажутся на расстоянии 126 километров друг от друга."
"Из одного города в противоположном направлении одновременно выехали два автомобиля. Первый ехал со скоростью 50 км/ч, второй со скоростью 23 км/ч, через сколько часов они окажутся на расстоянии 292 друг от друга? ",4,"Однажды две стрекозы решили отправиться в путешествие. Одна из них, более активная, решила отправиться в путь на своем любимом дереве, а другая, более медлительная, решила поехать на автомобиле. Первая стрекоза, которая решила путешествовать на дереве, могла передвигаться со скоростью 10 км/ч. Вторая стрекоза, которая решила путешествовать на автомобиле, могла передвигаться со скоростью 11 км/ч.

Итак, они отправились в путь одновременно. Через сколько часов они окажутся на расстоянии 292 друг от друга?"
"Из одного города в противоположном направлении одновременно выехали два автобуса. Первый ехал со скоростью 97 км/ч, второй со скоростью 77 км/ч, через сколько часов они окажутся на расстоянии 348 друг от друга? ",2,"Однажды два клопа, один из которых был немного быстрее, а другой немного медленнее, решили отправиться в путешествие по полю. Они решили поехать в противоположных направлениях, чтобы встретиться на полпути. Первый клоп двигался со скоростью 97 прыжков в час, а второй — со скоростью 77 прыжков в час. Через сколько часов они окажутся на расстоянии 348 прыжков друг от друга?"
"Из двух разных пунктов отправления, расстояние между которыми 78 км, в одинаковом направлении одновременно выехали два автобуса. Первый ехал со скоростью 16 км/ч, второй со скоростью 42 км/ч, через сколько часов первый догонит второго? ",3,"Однажды две стрекозы решили отправиться в путешествие из двух разных кустов, расстояние между которыми составляло 78 прыжков. Они решили двигаться в одном направлении одновременно. Первая стрекоза прыгала со скоростью 16 прыжков в час, а вторая — со скоростью 42 прыжка в час. Через сколько часов первая стрекоза догонит вторую?"
"Из одного села в противоположном направлении одновременно выехали два мотоцикла. С какой скоростью ехал первый, если второй ехал со скоростью 57 км/ч и через 4 часов они оказались на расстоянии 568 друг от друга? ",85,"Кузнечик-мотоциклист и его друг-кузнечик отправились из разных концов поля на встречу друг другу. Первый мотоциклист ехал со скоростью 57 километров в час, а второй - со скоростью 568 метров в час. Через четыре часа они оказались на расстоянии 568 метров друг от друга. С какой скоростью ехал первый мотоциклист?"
"Из двух разных деревень, расстояние между которыми 567 км, навстречу друг другу одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 30 км/ч и они встретились через 9 часов? ",33,"На поляне, где жил трудолюбивый муравей, два автомобиля выехали из двух разных деревень, расстояние между которыми составляло 567 км. Первый автомобиль ехал со скоростью 30 км/ч, а второй, который был быстрее, двигался с такой же скоростью, как и муравей. Через 9 часов автомобили встретились. Какова была скорость первого автомобиля?"
"Из двух разных городов, расстояние между которыми 322 км, в одинаковом направлении одновременно выехали два мотоцикла. С какой скоростью ехал первый, если второй ехал со скоростью 63 км/ч и они встретились через 7 часов? ",17,"Однажды две бабочки решили отправиться в путешествие. Они решили отправиться из двух разных городов, расстояние между которыми составляло 322 км. Они решили двигаться в одном направлении. И вот, когда они уже были готовы отправиться в путь, они заметили, что один из них летит немного быстрее другого. Второй бабочка летела со скоростью 63 км/ч. Но, несмотря на это, они встретились через 7 часов. И тогда они задумались, с какой же скоростью летел первый бабочка?"
"Из одного пункта отправления в противоположном направлении одновременно выехали два мотоцикла. Первый ехал со скоростью 34 км/ч, второй со скоростью 65 км/ч, через сколько часов они окажутся на расстоянии 198 друг от друга? ",2,"Однажды два жука решили отправиться в путешествие из леса А в лес Б. Один жук был очень быстрым и мог бегать со скоростью 34 метра в час, а второй жук был немного медленнее и мог бегать со скоростью 65 метров в час. Но жуки не знали, что расстояние между лесами А и Б составляет 198 метров.

Итак, первый жук начал свой путь из леса А в лес Б, а второй жук начал свой путь из леса Б в лес А. И вот они встретились на полпути, когда первый жук бежал со скоростью 34 метра в час, а второй жук бежал со скоростью 65 метров в час.

Через сколько часов жуки встретятся на полпути?"
"Из одного города в противоположном направлении одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 36 км/ч и через 6 часов они оказались на расстоянии 756 друг от друга? ",90,"Однажды два автомобиля отправились в путешествие из разных городов. Первый автомобиль ехал со скоростью 36 километров в час, а второй — со скоростью 48 километров в час. Через некоторое время они встретились на болоте, которое находилось на расстоянии 756 метров друг от друга."
"Из двух разных городов, расстояние между которыми 1048 км, навстречу друг другу одновременно выехали два мотоцикла. Первый ехал со скоростью 77 км/ч, второй со скоростью 54 км/ч, через сколько часов они встретятся? ",8,"Из двух разных городов, расстояние между которыми 1048 км, навстречу друг другу одновременно выехали два мотоцикла. Первый ехал со скоростью 77 км/ч, второй со скоростью 54 км/ч, через сколько часов они встретятся?"
"Из одного пункта отправления в противоположном направлении одновременно выехали два грузовика. С какой скоростью ехал первый, если второй ехал со скоростью 46 км/ч и через 9 часов они оказались на расстоянии 639 друг от друга? ",25,"Клоп, который жил на цветке, однажды задумался о том, как быстро он сможет добраться до другого цветка, который находился на расстоянии 639 шагов. Он знал, что его скорость составляет 46 шагов в час. Но как узнать, с какой скоростью он двигался?

Клоп решил использовать метод, который люди используют для решения подобных задач. Он понял, что если он будет двигаться со скоростью 46 шагов в час, то через 9 часов он сможет преодолеть расстояние в 46 шагов * 9 часов = 414 шагов.

Однако, поскольку клоп двигался в противоположных направлениях, он должен был преодолеть расстояние в 639 шагов. Чтобы узнать, с какой скоростью он двигался, клоп разделил расстояние, которое он должен был преодолеть, на время, которое он потратил: 639 шагов / 9 часов = 71 шаг в час.

Таким образом, клоп двигался со скоростью 71 шаг в час."
"Из одного села в противоположном направлении одновременно выехали два мотоцикла. Первый ехал со скоростью 72 км/ч, второй со скоростью 87 км/ч, через сколько часов они окажутся на расстоянии 795 друг от друга? ",5,"Жук Жучок, который жил на кусте, однажды услышал громкий шум. Он выглянул из своего домика и увидел, как два мотоцикла, один с красной рамой, а другой с синей, выехали из соседнего села. Жучок был очень любопытным и сразу же решил узнать, куда они направляются.

Первый мотоцикл ехал со скоростью 72 километра в час, а второй - со скоростью 87 километров в час. Жучок задумался, как долго они будут ехать, чтобы оказаться на расстоянии 795 друг от друга. Он знал, что жуки не могут ездить на мотоциклах, но он мог представить, что мотоциклы - это жуки, которые ползают, бегают, прыгают и скачут.

Жучок начал считать, сколько времени потребуется каждому мотоциклу, чтобы преодолеть расстояние в 795 километров. Он знал, что первый мотоцикл проедет это расстояние за 795 километров / 72 километра в час = 11 часов. А второй мотоцикл проедет это расстояние за 795 километров / 87 километров в час = 9 часов.

Когда Жучок сложил время, которое потребуется каждому мотоциклу, чтобы добраться до места назначения, он понял, что они окажутся на расстоянии 795 друг от друга через 11 часов + 9 часов = 20 часов.

Так Жучок узнал, что мотоциклы окажутся на расстоянии 795 друг от друга через 20 часов после того, как они выехали из села."
"Из двух разных городов навстречу друг другу одновременно выехали два грузовика. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 77 км/ч, второй ехал со скоростью 51 км/ч и они встретились через 7 часов? ",896,"Шмель, который был в одном из городов, отправился в путешествие на встречу с другим шмелем, который был в другом городе. Они решили встретиться на дереве, которое росло посередине между их городами. 

Первый шмель, который был очень быстрым, двигался со скоростью 77 укусов пчелы за час. Второй шмель, который был немного медленнее, двигался со скоростью 51 укус пчелы за час.

Они решили встретиться через 7 часов. Чтобы узнать, какое расстояние было между ними перед началом движения, нужно было умножить скорость первого шмеля на время, которое он двигался, и прибавить к этому расстояние, которое он проехал. Затем нужно было умножить скорость второго шмеля на время, которое он двигался, и прибавить к этому расстояние, которое он проехал. И наконец, нужно было вычесть расстояние, которое проехал второй шмель, из расстояния, которое проехал первый шмель.

Таким образом, расстояние между ними перед началом движения было:

(77 укусов пчелы/час * 7 часов) + (51 укус пчелы/час * 7 часов) = 539 укусов пчелы."
"Из двух разных городов, расстояние между которыми 126 км, в одинаковом направлении одновременно выехали два автомобиля. Первый ехал со скоростью 21 км/ч, второй со скоростью 42 км/ч, через сколько часов первый догонит второго? ",6,"Шмель, который был занят сбором нектара в пещере, услышал странный гул. Он выглянул из своего улья и увидел, как два автомобиля, жужжа моторами, выехали из двух разных городов, расстояние между которыми составляло 126 километров. Первый автомобиль ехал со скоростью 21 километр в час, а второй — со скоростью 42 километра в час. Шмелю стало любопытно, когда первый автомобиль догонит второго."
"Из двух разных городов, расстояние между которыми 608 км, навстречу друг другу одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 32 км/ч и они встретились через 8 часов? ",44,"Однажды, на опушке леса, гусеница решила отправиться в путешествие. Она хотела посетить два разных города, расстояние между которыми составляло 608 километров. Гусеница была очень любознательной и хотела узнать, сколько времени ей потребуется, чтобы добраться до каждого из этих городов.

Однако, у гусеницы был один маленький секрет: она не могла ехать на машине, как это делают люди. Вместо этого, она могла только ползать, бегать, прыгать, скакать или летать.

Итак, гусеница начала свое путешествие. Она ползла со скоростью 32 км/ч. Но тут она увидела, что навстречу ей движется другой автомобиль. Этот автомобиль ехал со скоростью 64 км/ч.

Гусеница была очень умной и быстро поняла, что если она будет двигаться с той же скоростью, что и автомобиль, то они встретятся через 8 часов.

Но как узнать, с какой скоростью ехал первый автомобиль?

Для этого нужно было использовать формулу скорости:

Скорость = Расстояние / Время

Гусеница знала, что расстояние между городами составляет 608 км, а время, за которое они встретились, равно 8 часам.

Теперь она могла вычислить скорость первого автомобиля:

Скорость = Расстояние / Время
Скорость = 608 км / 8 часов
Скорость = 76 км/ч

Таким образом, первый автомобиль ехал со скоростью 76 км/ч."
"Из двух разных пунктов отправления, расстояние между которыми 846 км, навстречу друг другу одновременно выехали два автомобиля. Первый ехал со скоростью 44 км/ч, второй со скоростью 97 км/ч, через сколько часов они встретятся? ",6,"Шмель, путешествующий по полю, задумался над интересной задачей. Ему нужно было узнать, сколько времени потребуется двум жукам, чтобы встретиться, если они вылетели из двух разных мест и двигались навстречу друг другу. Расстояние между жуками составляло 846 метров, и первый жук летел со скоростью 44 метра в час, а второй — со скоростью 97 метров в час. Шмелю нужно было вычислить, сколько часов потребуется жукам, чтобы встретиться."
"Из двух разных деревень навстречу друг другу одновременно выехали два мотоцикла. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 85 км/ч, второй ехал со скоростью 73 км/ч и они встретились через 5 часов? ",790,"Из двух разных цветков навстречу друг другу одновременно вылетели два жука-клопа. Какое расстояние было между ними перед началом движения, если первый летел со скоростью 85 см/ч, второй летел со скоростью 73 см/ч и они встретились через 5 часов?"
"Из двух разных деревень навстречу друг другу одновременно выехали два мотоцикла. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 90 км/ч, второй ехал со скоростью 84 км/ч и они встретились через 3 часов? ",522,"Из двух разных пещер навстречу друг другу одновременно вылетела пара пчел. Какое расстояние было между ними перед началом полета, если первая пчела летела со скоростью 90 см/с, вторая пчела летела со скоростью 84 см/с и они встретились через 3 секунды?"
"Из двух разных деревень, расстояние между которыми 164 км, в одинаковом направлении одновременно выехали два мотоцикла. С какой скоростью ехал первый, если второй ехал со скоростью 80 км/ч и они встретились через 4 часов? ",39,"Однажды две пчелы, одна из деревни А, а другая из деревни Б, решили отправиться в путешествие. Расстояние между их домами составляло 164 цветка. В то же время, они решили отправиться в путь одновременно, но в одном и том же направлении. Однако, одна из пчел двигалась немного быстрее, чем другая.

Через 4 часа после начала путешествия, пчелы встретились. Вторая пчела, которая двигалась медленнее, ехала со скоростью 80 цветков в час. С какой скоростью ехала первая пчела, если они встретились через 4 часа?"
"Из двух разных городов в одинаковом направлении одновременно выехали два автомобиля. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 45 км/ч, второй ехал со скоростью 83 км/ч и они встретились через 7 часов? ",266,"Однажды два автомобиля отправились в путь из двух разных городов в одном направлении. Первый автомобиль ехал со скоростью 45 километров в час, а второй — со скоростью 83 километра в час. Через семь часов они встретились. Но что было между ними до начала движения?"
"Из двух разных посёлков, расстояние между которыми 24 км, в одинаковом направлении одновременно выехали два автомобиля. Первый ехал со скоростью 13 км/ч, второй со скоростью 25 км/ч, через сколько часов первый догонит второго? ",2,"Кузнечик, сидя на опушке, задумался над задачей, в которой два автомобиля отправились из двух разных посёлков, расстояние между которыми 24 км, в одном направлении. Первый автомобиль ехал со скоростью 13 км/ч, а второй — со скоростью 25 км/ч. Кузнечику нужно было выяснить, через сколько часов первый автомобиль догонит второго."
"Из одного пункта отправления в противоположном направлении одновременно выехали два грузовика. Первый ехал со скоростью 89 км/ч, второй со скоростью 26 км/ч, через сколько часов они окажутся на расстоянии 805 друг от друга? ",7,"Однажды два грузовика отправились в путь из одного пункта отправления в противоположном направлении. Первый грузовик, управляемый трудолюбивой пчелой, ехал со скоростью 89 километров в час, а второй, за рулем которого был неуклюжий жук, двигался со скоростью 26 километров в час. Через сколько часов эти два грузовика окажутся на расстоянии 805 друг от друга?"
"Из двух разных городов в одинаковом направлении одновременно выехали два автобуса. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 49 км/ч, второй ехал со скоростью 78 км/ч и они встретились через 2 часов? ",58,"Муравей, который был пассажиром в автобусе, мчался со скоростью 49 см/ч, а другой муравей, который был пассажиром в другом автобусе, мчался со скоростью 78 см/ч. Они встретились через 2 часа. Какое расстояние было между ними перед началом движения?"
"Из двух разных посёлков, расстояние между которыми 1136 км, навстречу друг другу одновременно выехали два мотоцикла. Первый ехал со скоростью 94 км/ч, второй со скоростью 48 км/ч, через сколько часов они встретятся? ",8,"Однажды два жука, один из которых был жуком-навозником, а другой жуком-оленем, решили отправиться в путешествие из одного болота в другое. Расстояние между их домами составляло 1136 прыжков жука-навозника. В то же время, два жука-оленя, которые были очень быстрыми, решили отправиться в путь навстречу друг другу. Один из них двигался со скоростью 94 прыжка в час, а другой — со скоростью 48 прыжков в час. Через сколько часов они встретятся?"
"Из двух разных деревень навстречу друг другу одновременно выехали два автобуса. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 71 км/ч, второй ехал со скоростью 33 км/ч и они встретились через 6 часов? ",624,"Шмель, который был пассажиром в одном из автобусов, отправился в путешествие из деревни А в деревню Б. В первый день он преодолел расстояние в 71 километр, а во второй день - 33 километра. Но, к сожалению, шмель не смог добраться до пункта назначения, потому что его автобус сломался. 

Сколько километров было между автобусами перед началом движения?"
"Из двух разных городов навстречу друг другу одновременно выехали два грузовика. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 52 км/ч, второй ехал со скоростью 33 км/ч и они встретились через 5 часов? ",425,"Из двух разных пещер навстречу друг другу одновременно выбежали два муравья. Какое расстояние было между ними перед началом движения, если первый муравей бежал со скоростью 52 шага/мин, второй муравей бежал со скоростью 33 шага/мин и они встретились через 5 минут?"
"Из двух разных городов, расстояние между которыми 336 км, в одинаковом направлении одновременно выехали два автобуса. Первый ехал со скоростью 37 км/ч, второй со скоростью 85 км/ч, через сколько часов первый догонит второго? ",7,"Шмель, который был пассажиром первого автобуса, отправился из города А в город Б, расстояние между которыми составляло 336 км. В то же время из города Б вылетел шмель, который был пассажиром второго автобуса, и направился в город А. Оба шмеля двигались с одинаковой скоростью 37 км/ч. Через сколько часов шмель из первого автобуса догонит шмеля из второго автобуса?"
"Из двух разных городов, расстояние между которыми 732 км, навстречу друг другу одновременно выехали два мотоцикла. Первый ехал со скоростью 97 км/ч, второй со скоростью 86 км/ч, через сколько часов они встретятся? ",4,"Из двух разных городов, расстояние между которыми 732 км, навстречу друг другу одновременно выехали два мотоцикла. Первый ехал со скоростью 97 км/ч, второй со скоростью 86 км/ч, через сколько часов они встретятся?"
"Из одного села в противоположном направлении одновременно выехали два автобуса. Первый ехал со скоростью 81 км/ч, второй со скоростью 56 км/ч, через сколько часов они окажутся на расстоянии 959 друг от друга? ",7,"Однажды две стрекозы решили отправиться в путешествие из одного цветка в противоположном направлении. Первая стрекоза двигалась со скоростью 81 единицу измерения в час, а вторая — со скоростью 56 единиц измерения в час. Через сколько часов они окажутся на расстоянии 959 друг от друга?"
"Из двух разных пунктов отправления в одинаковом направлении одновременно выехали два грузовика. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 21 км/ч, второй ехал со скоростью 54 км/ч и они встретились через 8 часов? ",264,"Шмель по имени Шмельчик и его друг Шмелька отправились в путешествие из двух разных пунктов отправления в лес. Шмельчик ехал со скоростью 21 км/ч, а Шмелька - со скоростью 54 км/ч. Через 8 часов они встретились. Но так как насекомые не могут ездить, а только ползать, бегать, прыгать, скакать и летать, то они встретились на расстоянии, которое было между ними перед началом движения."
"Из одного города в противоположном направлении одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 38 км/ч и через 7 часов они оказались на расстоянии 945 друг от друга? ",97,"Однажды два шмеля решили отправиться в путешествие из болота в противоположном направлении. Первый шмель двигался со скоростью 38 км/ч, а второй шмель двигался со скоростью 38 км/ч. Через 7 часов они оказались на расстоянии 945 друг от друга. С какой скоростью ехал первый шмель?"
"Из двух разных посёлков, расстояние между которыми 45 км, в одинаковом направлении одновременно выехали два грузовика. Первый ехал со скоростью 24 км/ч, второй со скоростью 39 км/ч, через сколько часов первый догонит второго? ",3,"Жук по имени Жучок и его друг Муравей решили отправиться на поляну, которая находилась в 45 километрах от их дома. Они договорились выехать одновременно, но Жучок ехал со скоростью 24 километра в час, а Муравей — со скоростью 39 километров в час. Через сколько часов Жучок догонит Муравья?"
"Из двух разных посёлков, расстояние между которыми 287 км, в одинаковом направлении одновременно выехали два автобуса. Первый ехал со скоростью 49 км/ч, второй со скоростью 90 км/ч, через сколько часов первый догонит второго? ",7,"Однажды два клопа, один из которых был быстрым, а другой медленным, решили отправиться в путешествие с поляны на поляну. Расстояние между полянами составляло 287 клоповых прыжков. В то же самое время из двух разных полян одновременно выехали два жука. Первый жук ехал со скоростью 49 клоповых прыжков в час, а второй жук ехал со скоростью 90 клоповых прыжков в час. Через сколько часов первый жук догонит второго?"
"Из двух разных деревень, расстояние между которыми 164 км, в одинаковом направлении одновременно выехали два автобуса. С какой скоростью ехал первый, если второй ехал со скоростью 58 км/ч и они встретились через 4 часов? ",17,"Однажды из двух разных лесных деревушек, расстояние между которыми составляло 164 км, в одном и том же направлении одновременно выехали два жука-автобуса. Второй жук-автобус ехал со скоростью 58 км/ч, и они встретились через 4 часа. С какой скоростью ехал первый жук-автобус?"
"Из двух разных посёлков навстречу друг другу одновременно выехали два мотоцикла. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 97 км/ч, второй ехал со скоростью 68 км/ч и они встретились через 9 часов? ",1485,"Из двух разных посёлков навстречу друг другу одновременно выехали две улитки. Какое расстояние было между ними перед началом движения, если одна улитка ползла со скоростью 97 см/ч, а вторая ползла со скоростью 68 см/ч и они встретились через 9 часов?"
"Из одного посёлка в противоположном направлении одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 23 км/ч и через 5 часов они оказались на расстоянии 470 друг от друга? ",71,"Однажды два автомобиля отправились в путешествие из разных посёлков. Улитка, которая была за рулём первого автомобиля, решила поехать на гору, чтобы найти там что-то очень важное. Она ехала со скоростью 23 км/ч. В то же время другой автомобиль, которым управлял жук, ехал в противоположном направлении. Через 5 часов они оказались на расстоянии 470 друг от друга."
"Из одного города в противоположном направлении одновременно выехали два автобуса. С какой скоростью ехал первый, если второй ехал со скоростью 87 км/ч и через 4 часов они оказались на расстоянии 456 друг от друга? ",27,"Однажды два автобуса отправились из разных городов навстречу друг другу. Первый автобус ехал очень быстро, а второй двигался со скоростью 87 километров в час. Через четыре часа они оказались на расстоянии 456 друг от друга. С какой скоростью ехал первый автобус?"
"Из двух разных посёлков в одинаковом направлении одновременно выехали два автомобиля. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 13 км/ч, второй ехал со скоростью 57 км/ч и они встретились через 7 часов? ",308,"Жук, который был пассажиром в автомобиле, выехал из одного цветка в другом направлении. Его автомобиль двигался со скоростью 13 км/ч, а второй автомобиль, в котором ехал другой жук, двигался со скоростью 57 км/ч. Через 7 часов жуки встретились. Какое расстояние было между ними перед началом движения?"
"Из двух разных посёлков, расстояние между которыми 138 км, в одинаковом направлении одновременно выехали два грузовика. Первый ехал со скоростью 15 км/ч, второй со скоростью 38 км/ч, через сколько часов первый догонит второго? ",6,"Шмель, который был занят сбором нектара на горе, вдруг услышал странный гул. Он поднял голову и увидел, как два грузовика, один с скоростью 15 км/ч, а другой с скоростью 38 км/ч, отправились в путь из двух разных посёлков, расстояние между которыми составляло 138 км. Шмелю стало любопытно, когда же первый грузовик догонит второго."
