task_text,answer_num,gigachat_completion
"Из одного пункта отправления в противоположном направлении одновременно выехали два автобуса. На каком расстоянии друг от друга они окажутся через 7 часов если первый ехал со скоростью 50 км/ч, а второй ехал со скоростью 68 км/ч? ",826,"Из одного цветка в противоположном направлении одновременно вылетели два шмеля. На каком расстоянии друг от друга они окажутся через 7 минут если первый летел со скоростью 50 см/секунду, а второй летел со скоростью 68 см/секунду?"
"Из одного города в противоположном направлении одновременно выехали два автомобиля. Первый ехал со скоростью 50 км/ч, второй со скоростью 23 км/ч, через сколько часов они окажутся на расстоянии 292 друг от друга? ",4,"Из одной опушки в противоположном направлении одновременно вылетели два жука. Первый летел со скоростью 50 м/минуту, второй со скоростью 23 м/минуту, через сколько минут они окажутся на расстоянии 292 друг от друга?"
"Из одного города в противоположном направлении одновременно выехали два автобуса. Первый ехал со скоростью 97 км/ч, второй со скоростью 77 км/ч, через сколько часов они окажутся на расстоянии 348 друг от друга? ",2,"Из одного города в противоположном направлении одновременно вылетели два жука. Первый летел со скоростью 97 м/минуту, второй со скоростью 77 м/минуту, через сколько минут они окажутся на расстоянии 348 друг от друга?"
"Из двух разных пунктов отправления, расстояние между которыми 78 км, в одинаковом направлении одновременно выехали два автобуса. Первый ехал со скоростью 16 км/ч, второй со скоростью 42 км/ч, через сколько часов первый догонит второго? ",3,"Из двух разных пунктов отправления, расстояние между которыми 78 метров, в одинаковом направлении одновременно вылетели два жука. Первый летел со скоростью 16 см/минуту, второй со скоростью 42 см/минуту, через сколько минут первый догонит второго?"
"Из одного села в противоположном направлении одновременно выехали два мотоцикла. С какой скоростью ехал первый, если второй ехал со скоростью 57 км/ч и через 4 часов они оказались на расстоянии 568 друг от друга? ",85,"Из одного луга в противоположном направлении одновременно вылетели два шмеля. С какой скоростью летел первый, если второй летел со скоростью 57 м/минуту и через 4 минуты они оказались на расстоянии 568 друг от друга?"
"Из двух разных деревень, расстояние между которыми 567 км, навстречу друг другу одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 30 км/ч и они встретились через 9 часов? ",33,"Из двух разных пещер, расстояние между которыми 567 метров, навстречу друг другу одновременно вылетели два жука. С какой скоростью летел первый, если второй летел со скоростью 30 метров в минуту и они встретились через 9 минут?"
"Из двух разных городов, расстояние между которыми 322 км, в одинаковом направлении одновременно выехали два мотоцикла. С какой скоростью ехал первый, если второй ехал со скоростью 63 км/ч и они встретились через 7 часов? ",17,"Из двух разных полей, расстояние между которыми 322 метра, в одном направлении одновременно вылетели два шмеля. С какой скоростью летел первый, если второй летел со скоростью 63 см/минуту и они встретились через 7 минут?"
"Из одного пункта отправления в противоположном направлении одновременно выехали два мотоцикла. Первый ехал со скоростью 34 км/ч, второй со скоростью 65 км/ч, через сколько часов они окажутся на расстоянии 198 друг от друга? ",2,"Из одной точки в противоположном направлении одновременно вылетели два шмеля. Первый шмель летел со скоростью 34 метра в минуту, второй шмель летел со скоростью 65 метров в минуту, через сколько минут они окажутся на расстоянии 198 друг от друга?"
"Из одного города в противоположном направлении одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 36 км/ч и через 6 часов они оказались на расстоянии 756 друг от друга? ",90,"Из одного города в противоположном направлении одновременно вылетели два жука. С какой скоростью летел первый, если второй летел со скоростью 36 м/минуту и через 6 минут они оказались на расстоянии 756 друг от друга?"
"Из двух разных городов, расстояние между которыми 1048 км, навстречу друг другу одновременно выехали два мотоцикла. Первый ехал со скоростью 77 км/ч, второй со скоростью 54 км/ч, через сколько часов они встретятся? ",8,"Из двух разных городов, расстояние между которыми 1048 км, навстречу друг другу одновременно вылетели два жука. Первый летел со скоростью 77 м/минуту, второй со скоростью 54 м/минуту, через сколько минут они встретятся?"
"Из одного пункта отправления в противоположном направлении одновременно выехали два грузовика. С какой скоростью ехал первый, если второй ехал со скоростью 46 км/ч и через 9 часов они оказались на расстоянии 639 друг от друга? ",25,"Из одного пункта отправления в противоположном направлении одновременно выехали два грузовика. С какой скоростью ехал первый, если второй ехал со скоростью 46 км/ч и через 9 часов они оказались на расстоянии 639 друг от друга?"
"Из одного села в противоположном направлении одновременно выехали два мотоцикла. Первый ехал со скоростью 72 км/ч, второй со скоростью 87 км/ч, через сколько часов они окажутся на расстоянии 795 друг от друга? ",5,"Из одного луга в противоположном направлении одновременно вылетели два шмеля. Первый летел со скоростью 72 м/минуту, второй со скоростью 87 м/минуту, через сколько минут они окажутся на расстоянии 795 друг от друга?"
"Из двух разных городов навстречу друг другу одновременно выехали два грузовика. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 77 км/ч, второй ехал со скоростью 51 км/ч и они встретились через 7 часов? ",896,"Из двух разных болот навстречу друг другу одновременно вылетели два жука. Какое расстояние было между ними перед началом движения, если первый летел со скоростью 77 метров в минуту, второй летел со скоростью 51 метр в минуту и они встретились через 7 минут?"
"Из двух разных городов, расстояние между которыми 126 км, в одинаковом направлении одновременно выехали два автомобиля. Первый ехал со скоростью 21 км/ч, второй со скоростью 42 км/ч, через сколько часов первый догонит второго? ",6,"Из двух разных полей, расстояние между которыми 126 метров, в одном направлении одновременно вылетели два жука. Первый летел со скоростью 21 метр в минуту, второй со скоростью 42 метра в минуту, через сколько минут первый догонит второго?"
"Из двух разных городов, расстояние между которыми 608 км, навстречу друг другу одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 32 км/ч и они встретились через 8 часов? ",44,"Из двух разных городов, расстояние между которыми 608 муравьиных троп, навстречу друг другу одновременно выбежали два муравья. С какой скоростью бежал первый, если второй бежал со скоростью 32 муравьиных шага в минуту и они встретились через 8 минут?"
"Из двух разных пунктов отправления, расстояние между которыми 846 км, навстречу друг другу одновременно выехали два автомобиля. Первый ехал со скоростью 44 км/ч, второй со скоростью 97 км/ч, через сколько часов они встретятся? ",6,"Из двух разных пунктов отправления, расстояние между которыми 846 метров, навстречу друг другу одновременно выехали два жука. Первый жук полз со скоростью 44 мм/минуту, второй жук полз со скоростью 97 мм/минуту, через сколько минут они встретятся?"
"Из двух разных деревень навстречу друг другу одновременно выехали два мотоцикла. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 85 км/ч, второй ехал со скоростью 73 км/ч и они встретились через 5 часов? ",790,"Из двух разных лесов навстречу друг другу одновременно вылетели два жука. Один летел со скоростью 85 метров в минуту, а другой - со скоростью 73 метра в минуту. Через 5 минут они встретились. Какое расстояние было между ними перед началом движения?"
"Из двух разных деревень навстречу друг другу одновременно выехали два мотоцикла. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 90 км/ч, второй ехал со скоростью 84 км/ч и они встретились через 3 часов? ",522,"Из двух разных полей навстречу друг другу одновременно вылетели два жука. Первый жук летел со скоростью 90 метров в минуту, а второй жук - со скоростью 84 метра в минуту. Через 3 минуты они встретились. Какое расстояние было между ними перед началом движения?"
"Из двух разных деревень, расстояние между которыми 164 км, в одинаковом направлении одновременно выехали два мотоцикла. С какой скоростью ехал первый, если второй ехал со скоростью 80 км/ч и они встретились через 4 часов? ",39,"Из двух разных болот, расстояние между которыми 164 метра, в одинаковом направлении одновременно вылетела пара пчел. С какой скоростью летела первая, если вторая летела со скоростью 80 метров в минуту и они встретились через 4 минуты?"
"Из двух разных городов в одинаковом направлении одновременно выехали два автомобиля. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 45 км/ч, второй ехал со скоростью 83 км/ч и они встретились через 7 часов? ",266,"Из двух разных опушек в одном направлении одновременно вылетели два жука. Какое расстояние было между ними перед началом движения, если первый летел со скоростью 45 м/минуту, второй летел со скоростью 83 м/минуту и они встретились через 7 минут?"
"Из двух разных посёлков, расстояние между которыми 24 км, в одинаковом направлении одновременно выехали два автомобиля. Первый ехал со скоростью 13 км/ч, второй со скоростью 25 км/ч, через сколько часов первый догонит второго? ",2,"Из двух разных полей, расстояние между которыми 24 метра, в одном направлении одновременно выпрыгнули два кузнечика. Первый прыгал со скоростью 13 см/скачок, второй со скоростью 25 см/скачок, через сколько скачков первый догонит второго?"
"Из одного пункта отправления в противоположном направлении одновременно выехали два грузовика. Первый ехал со скоростью 89 км/ч, второй со скоростью 26 км/ч, через сколько часов они окажутся на расстоянии 805 друг от друга? ",7,"Из одного пункта отправления в противоположном направлении одновременно вылетели два жука. Первый летел со скоростью 89 м/минуту, второй со скоростью 26 м/минуту, через сколько минут они окажутся на расстоянии 805 друг от друга?"
"Из двух разных городов в одинаковом направлении одновременно выехали два автобуса. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 49 км/ч, второй ехал со скоростью 78 км/ч и они встретились через 2 часов? ",58,"Из двух разных пещер в одном направлении одновременно вылетели два шмеля. Какое расстояние было между ними перед началом полета, если первый летел со скоростью 49 м/минуту, второй летел со скоростью 78 м/минуту и они встретились через 2 часа?"
"Из двух разных посёлков, расстояние между которыми 1136 км, навстречу друг другу одновременно выехали два мотоцикла. Первый ехал со скоростью 94 км/ч, второй со скоростью 48 км/ч, через сколько часов они встретятся? ",8,"Из двух разных полей, расстояние между которыми 1136 метров, навстречу друг другу одновременно выпрыгнули два кузнечика. Первый прыгал со скоростью 94 см/прыжок, второй со скоростью 48 см/прыжок, через сколько прыжков они встретятся?"
"Из двух разных деревень навстречу друг другу одновременно выехали два автобуса. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 71 км/ч, второй ехал со скоростью 33 км/ч и они встретились через 6 часов? ",624,"Из двух разных лесов навстречу друг другу одновременно вылетели два жука. Один жук летел со скоростью 71 метр в минуту, а второй жук летел со скоростью 33 метра в минуту. Через 6 минут они встретились. Какое расстояние было между ними перед началом движения?"
"Из двух разных городов навстречу друг другу одновременно выехали два грузовика. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 52 км/ч, второй ехал со скоростью 33 км/ч и они встретились через 5 часов? ",425,"Из двух разных полей навстречу друг другу одновременно выпрыгнули два кузнечика. Один прыгал со скоростью 52 метра в минуту, а другой прыгал со скоростью 33 метра в минуту. Через 5 минут они встретились. Какое расстояние было между ними перед началом движения?"
"Из двух разных городов, расстояние между которыми 336 км, в одинаковом направлении одновременно выехали два автобуса. Первый ехал со скоростью 37 км/ч, второй со скоростью 85 км/ч, через сколько часов первый догонит второго? ",7,"Из двух разных городов, расстояние между которыми 336 метров, в одинаковом направлении одновременно выехали два жука. Первый полз со скоростью 37 см/минуту, второй со скоростью 85 см/минуту, через сколько минут первый догонит второго?"
"Из двух разных городов, расстояние между которыми 732 км, навстречу друг другу одновременно выехали два мотоцикла. Первый ехал со скоростью 97 км/ч, второй со скоростью 86 км/ч, через сколько часов они встретятся? ",4,"Из двух разных городов, расстояние между которыми 732 метра, навстречу друг другу одновременно вылетели два жука. Первый летел со скоростью 97 см/секунду, второй со скоростью 86 см/секунду, через сколько секунд они встретятся?"
"Из одного села в противоположном направлении одновременно выехали два автобуса. Первый ехал со скоростью 81 км/ч, второй со скоростью 56 км/ч, через сколько часов они окажутся на расстоянии 959 друг от друга? ",7,"Из одного поля в противоположном направлении одновременно вылетели два шмеля. Первый летел со скоростью 81 метр/минуту, второй со скоростью 56 метров/минуту, через сколько минут они окажутся на расстоянии 959 друг от друга?"
"Из двух разных пунктов отправления в одинаковом направлении одновременно выехали два грузовика. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 21 км/ч, второй ехал со скоростью 54 км/ч и они встретились через 8 часов? ",264,"Из двух разных кустов в одинаковом направлении одновременно выпрыгнули два кузнечика. Какое расстояние было между ними перед началом прыжков, если первый прыгал со скоростью 21 см/скачок, второй прыгал со скоростью 54 см/скачок и они встретились через 8 скачков?"
"Из одного города в противоположном направлении одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 38 км/ч и через 7 часов они оказались на расстоянии 945 друг от друга? ",97,"Из одного болота в противоположном направлении одновременно вылетели два жука. С какой скоростью летел первый, если второй летел со скоростью 38 м/минуту и через 7 минут они оказались на расстоянии 945 друг от друга?"
"Из двух разных посёлков, расстояние между которыми 45 км, в одинаковом направлении одновременно выехали два грузовика. Первый ехал со скоростью 24 км/ч, второй со скоростью 39 км/ч, через сколько часов первый догонит второго? ",3,"Из двух разных посёлков, расстояние между которыми 45 м, в одинаковом направлении одновременно вылетели два жука. Первый летел со скоростью 24 м/минуту, второй со скоростью 39 м/минуту, через сколько минут первый догонит второго?"
"Из двух разных посёлков, расстояние между которыми 287 км, в одинаковом направлении одновременно выехали два автобуса. Первый ехал со скоростью 49 км/ч, второй со скоростью 90 км/ч, через сколько часов первый догонит второго? ",7,"Из двух разных посёлков, расстояние между которыми 287 метров, в одинаковом направлении одновременно вылетели два жука. Первый летел со скоростью 49 см/секунду, второй со скоростью 90 см/секунду, через сколько секунд первый догонит второго?"
"Из двух разных деревень, расстояние между которыми 164 км, в одинаковом направлении одновременно выехали два автобуса. С какой скоростью ехал первый, если второй ехал со скоростью 58 км/ч и они встретились через 4 часов? ",17,"Из двух разных лесов, расстояние между которыми 164 метра, в одинаковом направлении одновременно вылетели два жука. С какой скоростью летел первый, если второй летел со скоростью 58 метров в минуту и они встретились через 4 минуты?"
"Из двух разных посёлков навстречу друг другу одновременно выехали два мотоцикла. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 97 км/ч, второй ехал со скоростью 68 км/ч и они встретились через 9 часов? ",1485,"Из двух разных гор навстречу друг другу одновременно вылетели два шмеля. Какое расстояние было между ними перед началом движения, если первый летел со скоростью 97 метров в минуту, второй летел со скоростью 68 метров в минуту и они встретились через 9 минут?"
"Из одного посёлка в противоположном направлении одновременно выехали два автомобиля. С какой скоростью ехал первый, если второй ехал со скоростью 23 км/ч и через 5 часов они оказались на расстоянии 470 друг от друга? ",71,"Из одного городка в противоположном направлении одновременно выехали два жука. С какой скоростью летел первый, если второй летел со скоростью 23 м/минуту и через 5 часов они оказались на расстоянии 470 друг от друга?"
"Из одного города в противоположном направлении одновременно выехали два автобуса. С какой скоростью ехал первый, если второй ехал со скоростью 87 км/ч и через 4 часов они оказались на расстоянии 456 друг от друга? ",27,"Из одного города в противоположном направлении одновременно вылетели два шмеля. С какой скоростью летел первый, если второй летел со скоростью 87 м/минуту и через 4 минуты они оказались на расстоянии 456 друг от друга?"
"Из двух разных посёлков в одинаковом направлении одновременно выехали два автомобиля. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 13 км/ч, второй ехал со скоростью 57 км/ч и они встретились через 7 часов? ",308,"Из двух разных болот в одном направлении одновременно вылетели два клопа. Какое расстояние было между ними перед началом движения, если первый летел со скоростью 13 см/секунду, второй летел со скоростью 57 см/секунду и они встретились через 7 минут?"
"Из двух разных посёлков, расстояние между которыми 138 км, в одинаковом направлении одновременно выехали два грузовика. Первый ехал со скоростью 15 км/ч, второй со скоростью 38 км/ч, через сколько часов первый догонит второго? ",6,"Из двух разных пещер, расстояние между которыми 138 метров, в одинаковом направлении одновременно вылетели два шмеля. Первый летел со скоростью 15 см/секунду, второй со скоростью 38 см/секунду, через сколько секунд первый догонит второго?"
